lag                  	value                
189                  	0.0593891820557158   
190                  	0.0483679980116293   
191                  	0.0538636576274959   
192                  	0.0526733182064398   
193                  	0.0573197516836011   
194                  	0.0484857942974611   
195                  	0.0487069620872963   
196                  	0.0393157815878726   
197                  	0.028275870491516    
198                  	0.0339295392764244   
199                  	0.0248393279281287   
200                  	0.0280214570927946   
201                  	0.0179940815638142   
202                  	0.0178455293902103   
203                  	0.00269989394888163  
204                  	-0.0242774531865107  
205                  	-0.0349487211950413  
206                  	-0.0288199247195028  
207                  	-0.0522158395711621  
208                  	-0.0620047287341195  
209                  	-0.0703135963140492  
210                  	-0.0773269482616745  
211                  	-0.0747305165988919  
212                  	-0.066829419788482   
213                  	-0.059088173529216   
214                  	-0.0610407120114936  
215                  	-0.0888114810204862  
216                  	-0.103232131470969   
217                  	-0.0940930180669507  
218                  	-0.0832880572609035  
219                  	-0.0848295610249647  
220                  	-0.0863416528473243  
221                  	-0.0757260458868015  
222                  	-0.064297109788138   
223                  	-0.0586926456264032  
224                  	-0.0502203046921367  
225                  	-0.0490280830982258  
226                  	-0.0350371188345169  
227                  	-0.00633618962561191 
228                  	0.0124843439203114   
229                  	0.029466177217135    
230                  	0.0313529834364489   
231                  	0.0309890354435516   
232                  	0.0465887471644962   
233                  	0.051303078999787    
234                  	0.0627705466993767   
235                  	0.0703459002987112   
236                  	0.0847736555299855   
237                  	0.106135927345561    
238                  	0.110500627496624    
239                  	0.112569527835135    
240                  	0.1212859320734      
241                  	0.107907613833869    
242                  	0.10182022522752     
243                  	0.0905592395722295   
244                  	0.0796499011166727   
245                  	0.0748696164905891   
246                  	0.0473067764903943   
247                  	0.0202583377501347   
248                  	0.0121138689033471   
249                  	0.00117659847527578  
250                  	-0.0085594394994463  
251                  	-0.0136333643790286  
252                  	-0.0198231736468719  
253                  	-0.0273968891323974  
254                  	-0.0387227029005859  
255                  	-0.0578655535563482  
256                  	-0.0638669778729477  
257                  	-0.0667541124613241  
258                  	-0.0673637232606202  
259                  	-0.0668016009047582  
260                  	-0.0616956642073162  
261                  	-0.0568197768889862  
262                  	-0.0533798383659162  
263                  	-0.0504077867980923  
264                  	-0.0413845366422753  
265                  	-0.0430760476434901  
266                  	-0.0470352142862572  
267                  	-0.0535623547688748  
268                  	-0.054295899178561   
269                  	-0.0480478966493653  
270                  	-0.0398835687662662  
271                  	-0.0415283546547848  
272                  	-0.0318780629676958  
273                  	-0.0305688080179449  
274                  	-0.0233165972776239  
275                  	-0.0221586593341964  
276                  	-0.00850838725136154 
277                  	0.000136244620972685 
278                  	0.0168754824761434   
279                  	0.0316364169934257   
280                  	0.0464809103248652   
281                  	0.0688483498893914   
282                  	0.0851796251888091   
283                  	0.0989639006871852   
284                  	0.121766184089763    
285                  	0.122310056134582    
286                  	0.124758046245758    
287                  	0.131086096546469    
288                  	0.131946208190124    
289                  	0.125852949172984    
290                  	0.125891125772401    
291                  	0.108901430964737    
292                  	0.0901692418416296   
293                  	0.0748815937855566   
294                  	0.0485470041065733   
295                  	0.0175541944818253   
296                  	0.00641065346584427  
297                  	-0.00287757753046084 
298                  	-0.0196426282748287  
299                  	-0.0253605167121332  
300                  	-0.0335806317728806  
301                  	-0.0399716794130257  
302                  	-0.0470497952023984  
303                  	-0.0582136877374466  
304                  	-0.0573087501162476  
305                  	-0.0520595934482642  
306                  	-0.0589160471993425  
307                  	-0.0644578086857569  
308                  	-0.0585495476742324  
309                  	-0.0591789307075828  
310                  	-0.0644255578419059  
311                  	-0.0711939469605654  
312                  	-0.0695841364195385  
313                  	-0.0743332488390476  
314                  	-0.0800483811772712  
315                  	-0.0793729850063827  
316                  	-0.0748343889200783  
317                  	-0.0730780622947041  
318                  	-0.0706852818163626  
319                  	-0.0668303948384384  
320                  	-0.0630792904665151  
321                  	-0.0586235726963705  
322                  	-0.0547822360706475  
323                  	-0.0517441462078351  
324                  	-0.0396332967393762  
325                  	-0.0307219475407748  
326                  	-0.0215511953622805  
327                  	0.0013741371300808   
328                  	0.0142994265529872   
329                  	0.0405088157596678   
330                  	0.046735973509267    
331                  	0.0534877907245251   
332                  	0.0615911347057682   
333                  	0.07227485617724     
334                  	0.0923977488192636   
335                  	0.110934773889071    
336                  	0.129258999868645    
337                  	0.122250855344377    
338                  	0.0890915636800141   
339                  	0.0703888773199819   
340                  	0.0528171795020795   
341                  	0.0376308078967956   
342                  	0.0164672757754415   
343                  	0.000436165487490007 
344                  	0.00142079211717493  
345                  	-0.0126670158541444  
346                  	-0.0275835418185913  
347                  	-0.037742213548251   
348                  	-0.0406675706726611  
349                  	-0.0359238705891311  
350                  	-0.0397700579494872  
351                  	-0.0472093004422457  
352                  	-0.0455132758144282  
353                  	-0.0617862756095849  
354                  	-0.0672174425437871  
355                  	-0.0666067476785467  
356                  	-0.0744061955113236  
357                  	-0.0738354954000349  
358                  	-0.0688320531764787  
359                  	-0.0681760423925968  
360                  	-0.0595302856426042  
361                  	-0.05909277775052    
362                  	-0.0624446086743799  
363                  	-0.0604090017763426  
364                  	-0.0486237335470193  
365                  	-0.0417616199813697  
366                  	-0.0400829091471693  
367                  	-0.0314791935974813  
368                  	-0.0252429204025719  
369                  	-0.0287650971367094  
370                  	-0.0142251102628361  
371                  	-0.00486213680740328 
372                  	0.000930845337881462 
373                  	0.00675115253627216  
374                  	0.00672416816514429  
375                  	0.0123048504967346   
376                  	0.0278947553933101   
377                  	0.0470648784873469   
378                  	0.0648800218592926   
379                  	0.084593333948469    
380                  	0.106637802254485    
381                  	0.105272954647935    
382                  	0.117189201287626    
383                  	0.122071135299748    
384                  	0.129363166825559    
385                  	0.127724765342357    
386                  	0.115317004944647    
387                  	0.108061419108378    
388                  	0.10149912111059     
389                  	0.076639293824876    
390                  	0.0522390781925135   
391                  	0.0296513119918196   
392                  	0.0167839741124241   
393                  	0.0143758816825953   
394                  	0.0132037910846653   
395                  	0.00430493988510158  
396                  	-0.000752706736431395
397                  	0.00893154192644796  
398                  	0.00221267280210761  
399                  	-0.0116434900083766  
400                  	-0.0113899143152521  
401                  	-0.0188166842998066  
402                  	-0.0284696240782565  
403                  	-0.0408267477568231  
404                  	-0.054775159326274   
405                  	-0.0601418344053832  
406                  	-0.0605386045129574  
407                  	-0.05546614317358    
408                  	-0.0614366140589166  
409                  	-0.0675738960691498  
410                  	-0.0729944310578738  
411                  	-0.0714648385343876  
412                  	-0.0752939144147565  
413                  	-0.073774327189137   
414                  	-0.0702888013498127  
415                  	-0.0722019606167418  
416                  	-0.0671051482763086  
417                  	-0.0649727177516549  
418                  	-0.0779081553398012  
419                  	-0.07835241519108    
420                  	-0.0639095053520189  
421                  	-0.0440408777079973  
422                  	-0.0277005494065076  
