peri                	freq                	cycle               	amp                 	phase               
36868.9802948079    	0.066398395456306   	94.6285714285714    	4.71846129470385    	5.39674546548718    
29401.7209044026    	0.0682954924693433  	92                  	4.21362817318823    	2.55681108435435    
21810.5781301875    	0.0701925894823806  	89.5135135135135    	3.62913749636253    	2.41467119026902    
42925.7512643093    	0.072089686495418   	87.1578947368421    	5.09130114821637    	2.28223929285397    
25310.451864297     	0.0739867835084553  	84.9230769230769    	3.90948708784597    	2.56245533349653    
29454.9235807959    	0.0758838805214926  	82.8                	4.21743874904306    	3.11879236227093    
49736.8629610017    	0.0777809775345299  	80.7804878048781    	5.48035925253416    	0.542404987299529   
28591.9990751407    	0.0796780745475672  	78.8571428571429    	4.15520155041869    	0.522717822651725   
129918.010770242    	0.0815751715606045  	77.0232558139535    	8.85736445306921    	1.37208882532937    
24506.069797933     	0.0834722685736418  	75.2727272727273    	3.84686253032965    	0.188682739408651   
14997.1786853012    	0.0853693655866792  	73.6                	3.0093632751866     	3.38870672049932    
171764.263109633    	0.0872664625997165  	72                  	10.1844185452509    	3.30069275428649    
6692.26912489288    	0.0891635596127538  	70.468085106383     	2.01027991010314    	1.32503518672286    
134232.413671285    	0.0910606566257911  	69                  	9.00323390876819    	3.49503898631073    
56729.7099454287    	0.0929577536388284  	67.5918367346939    	5.85295405953993    	1.93664329960026    
88859.7559455896    	0.0948548506518657  	66.24               	7.32524900013668    	1.53193982825558    
280781.631731302    	0.096751947664903   	64.9411764705882    	13.0212950754373    	3.91235083871682    
2145.74350642432    	0.0986490446779404  	63.6923076923077    	1.13830524569723    	1.98954869610431    
16797.6582910012    	0.100546141690978   	62.4905660377358    	3.184888296432      	3.21675511125918    
63534.1415986327    	0.102443238704015   	61.3333333333333    	6.19403160594182    	4.61967798407014    
44216.1952091934    	0.104340335717052   	60.2181818181818    	5.16726242528238    	1.64492065749147    
28301.4870379959    	0.10623743273009    	59.1428571428571    	4.13403797158186    	5.00112005711141    
223438.705951382    	0.108134529743127   	58.1052631578947    	11.615797639489     	5.99932186490585    
99946.4276767337    	0.110031626756164   	57.1034482758621    	7.76879160443867    	4.44919830841803    
261147.496802711    	0.111928723769202   	56.135593220339     	12.5577770234127    	5.19176710285611    
45765.3394348638    	0.113825820782239   	55.2                	5.25700242894763    	0.895110413507679   
7846.55458824809    	0.115722917795276   	54.2950819672131    	2.17675391388165    	0.956573256190659   
16898.3552080413    	0.117620014808314   	53.4193548387097    	3.19442025691716    	1.06288801730754    
87544.8131408468    	0.119517111821351   	52.5714285714286    	7.27084763467083    	3.69256271186194    
96431.1608365349    	0.121414208834388   	51.75               	7.63094865116704    	5.61187684338453    
72957.0070228061    	0.123311305847425   	50.9538461538462    	6.6374817258592     	3.71759564229882    
79266.6601048906    	0.125208402860463   	50.1818181818182    	6.91855047268211    	3.94075768421556    
7700.97439934307    	0.1271054998735     	49.4328358208955    	2.15646628990733    	3.67577402480977    
280054.325455514    	0.129002596886537   	48.7058823529412    	13.0044196652763    	1.64305114405091    
11055372.4007548    	0.130899693899575   	48                  	81.7064839371028    	0.613652629598981   
460843.394000266    	0.132796790912612   	47.3142857142857    	16.6819385465736    	1.2703044990666     
428201.439808013    	0.134693887925649   	46.6478873239437    	16.0802906900446    	1.55872091240588    
9191.01159363535    	0.136590984938687   	46                  	2.35587091622915    	4.51609371266574    
372736.237868163    	0.138488081951724   	45.3698630136986    	15.002742057506     	5.25743844678315    
43667.9470087891    	0.140385178964761   	44.7567567567568    	5.13512738088042    	0.104378967244037   
194082.427945478    	0.142282275977799   	44.16               	10.8258733496888    	4.51518892039749    
43650.8283956451    	0.144179372990836   	43.5789473684211    	5.13412075151043    	1.50305246423269    
20929.4278267558    	0.146076470003873   	43.012987012987     	3.55507290693803    	3.57813517083902    
28394.2336719452    	0.147973567016911   	42.4615384615385    	4.14080624660797    	4.78265960679914    
146261.462271963    	0.149870664029948   	41.9240506329114    	9.39798590407104    	2.72050133539316    
12496.1934013842    	0.151767761042985   	41.4                	2.74700027449621    	3.29381533236603    
95549.5773477439    	0.153664858056022   	40.8888888888889    	7.5959871075145     	0.0300224853731512  
18601.6219747876    	0.15556195506906    	40.390243902439     	3.35154643580321    	3.02724939487595    
79663.9627986109    	0.157459052082097   	39.9036144578313    	6.93586748205513    	5.29696254737223    
