Datetime,value
2013/04/15 10:00:00,2211               
2013/04/15 10:30:00,2005               
2013/04/15 11:00:00,1969               
2013/04/15 11:30:00,2059               
2013/04/15 12:00:00,1955.5             
2013/04/15 12:30:00,1955.83333333333   
2013/04/15 13:00:00,1820.66666666667   
2013/04/15 13:30:00,1883.5             
2013/04/15 14:00:00,1866               
2013/04/15 14:30:00,1897               
2013/04/15 15:00:00,1879               
2013/04/15 15:30:00,2027               
2013/04/15 16:00:00,2010.2             
2013/04/15 16:30:00,2558.99047619048   
2013/04/15 17:00:00,2202.80952380952   
2013/04/15 17:30:00,1863.92857142857   
2013/04/15 18:00:00,1954.57142857143   
2013/04/15 18:30:00,1989.5             
2013/04/15 19:00:00,2114               
2013/04/15 19:30:00,2144.5             
2013/04/15 20:00:00,2089.5             
2013/04/15 20:30:00,2144               
2013/04/15 21:00:00,2184.5             
2013/04/15 21:30:00,2179               
2013/04/15 22:00:00,2163.85714285714   
2013/04/15 22:30:00,2246.14285714286   
2013/04/15 23:00:00,2115.5             
2013/04/15 23:30:00,1928               
2013/04/16 00:00:00,1792               
2013/04/16 00:30:00,1911               
2013/04/16 01:00:00,2049               
2013/04/16 01:30:00,2073               
2013/04/16 02:00:00,2003               
2013/04/16 02:30:00,2060               
2013/04/16 03:00:00,2056               
2013/04/16 03:30:00,1982               
2013/04/16 04:00:00,1925               
2013/04/16 04:30:00,1903               
2013/04/16 05:00:00,1840               
2013/04/16 05:30:00,1958               
2013/04/16 06:00:00,1985               
2013/04/16 06:30:00,1946               
2013/04/16 07:00:00,1875.35087719298   
2013/04/16 07:30:00,1880.52631578947   
2013/04/16 08:00:00,1988.12280701754   
2013/04/16 08:30:00,2292               
2013/04/16 09:00:00,2218               
2013/04/16 09:30:00,2166.5             
2013/04/16 10:00:00,1690.5             
2013/04/16 10:30:00,1967               
2013/04/16 11:00:00,1823.75            
2013/04/16 11:30:00,1910.75            
2013/04/16 12:00:00,1962               
2013/04/16 12:30:00,2333               
2013/04/16 13:00:00,2099               
2013/04/16 13:30:00,2082               
2013/04/16 14:00:00,1909               
2013/04/16 14:30:00,1982               
2013/04/16 15:00:00,1913               
2013/04/16 15:30:00,1954               
2013/04/16 16:00:00,1914               
2013/04/16 16:30:00,1976.5             
2013/04/16 17:00:00,2555.5             
2013/04/16 17:30:00,2018               
2013/04/16 18:00:00,2019.5             
2013/04/16 18:30:00,1997.5             
2013/04/16 19:00:00,2037               
2013/04/16 19:30:00,1957.5             
2013/04/16 20:00:00,1981.5             
2013/04/16 20:30:00,2004.75            
2013/04/16 21:00:00,2189.75            
2013/04/16 21:30:00,2174               
2013/04/16 22:00:00,2245               
2013/04/16 22:30:00,2030               
2013/04/16 23:00:00,1927               
2013/04/16 23:30:00,1958               
2013/04/17 00:00:00,2310               
2013/04/17 00:30:00,2239               
2013/04/17 01:00:00,2116               
2013/04/17 01:30:00,2120               
2013/04/17 02:00:00,2127               
2013/04/17 02:30:00,1996               
2013/04/17 03:00:00,1938               
2013/04/17 03:30:00,1922               
2013/04/17 04:00:00,1854               
